X 1: Position X,Unit,Category,Collection,Y 1: Position Y,Unit,Category,Collection,Position_Z
696,um,Spot,Position,487,um,Spot,Position,489
708,um,Spot,Position,540,um,Spot,Position,490
917,um,Spot,Position,564,um,Spot,Position,488
803,um,Spot,Position,606,um,Spot,Position,487
710,um,Spot,Position,609,um,Spot,Position,484
1027,um,Spot,Position,668,um,Spot,Position,484
777,um,Spot,Position,524,um,Spot,Position,494
703,um,Spot,Position,586,um,Spot,Position,496
1017,um,Spot,Position,656,um,Spot,Position,492
805,um,Spot,Position,372,um,Spot,Position,503
807,um,Spot,Position,482,um,Spot,Position,503
890,um,Spot,Position,529,um,Spot,Position,503
1088,um,Spot,Position,544,um,Spot,Position,501
842,um,Spot,Position,559,um,Spot,Position,499
1061,um,Spot,Position,641,um,Spot,Position,501
949,um,Spot,Position,651,um,Spot,Position,500
773,um,Spot,Position,355,um,Spot,Position,508
853,um,Spot,Position,397,um,Spot,Position,510
998,um,Spot,Position,420,um,Spot,Position,505
846,um,Spot,Position,447,um,Spot,Position,506
924,um,Spot,Position,446,um,Spot,Position,505
717,um,Spot,Position,307,um,Spot,Position,515
860,um,Spot,Position,323,um,Spot,Position,515
740,um,Spot,Position,364,um,Spot,Position,515
958,um,Spot,Position,384,um,Spot,Position,515
1094,um,Spot,Position,485,um,Spot,Position,515
1307,um,Spot,Position,438,um,Spot,Position,498
1147,um,Spot,Position,416,um,Spot,Position,515
1145,um,Spot,Position,453,um,Spot,Position,515
1186,um,Spot,Position,453,um,Spot,Position,515
1217,um,Spot,Position,456,um,Spot,Position,515
1199,um,Spot,Position,462,um,Spot,Position,515
1389,um,Spot,Position,465,um,Spot,Position,515
1166,um,Spot,Position,468,um,Spot,Position,515
1455,um,Spot,Position,497,um,Spot,Position,515
1177,um,Spot,Position,515,um,Spot,Position,515
1172,um,Spot,Position,546,um,Spot,Position,515
1138,um,Spot,Position,577,um,Spot,Position,515
1204,um,Spot,Position,580,um,Spot,Position,515
1109,um,Spot,Position,590,um,Spot,Position,515
1154,um,Spot,Position,593,um,Spot,Position,515
1181,um,Spot,Position,610,um,Spot,Position,515
1141,um,Spot,Position,633,um,Spot,Position,515
1119,um,Spot,Position,636,um,Spot,Position,515
1176,um,Spot,Position,635,um,Spot,Position,515
1726,um,Spot,Position,590,um,Spot,Position,495
-613,um,Spot,Position,1041,um,Spot,Position,496
-617,um,Spot,Position,820,um,Spot,Position,502
-595,um,Spot,Position,826,um,Spot,Position,501
-627,um,Spot,Position,853,um,Spot,Position,502
-628,um,Spot,Position,864,um,Spot,Position,502
-853,um,Spot,Position,868,um,Spot,Position,503
-626,um,Spot,Position,893,um,Spot,Position,502
-596,um,Spot,Position,911,um,Spot,Position,500
-600,um,Spot,Position,949,um,Spot,Position,501
-821,um,Spot,Position,982,um,Spot,Position,498
-624,um,Spot,Position,980,um,Spot,Position,501
-625,um,Spot,Position,1025,um,Spot,Position,498
-627,um,Spot,Position,1075,um,Spot,Position,502
-629,um,Spot,Position,1095,um,Spot,Position,503
-725,um,Spot,Position,706,um,Spot,Position,505
-797,um,Spot,Position,724,um,Spot,Position,505
-774,um,Spot,Position,731,um,Spot,Position,505
-730,um,Spot,Position,738,um,Spot,Position,505
-619,um,Spot,Position,738,um,Spot,Position,504
-774,um,Spot,Position,754,um,Spot,Position,505
-650,um,Spot,Position,780,um,Spot,Position,504
-709,um,Spot,Position,830,um,Spot,Position,504
-732,um,Spot,Position,854,um,Spot,Position,505
-703,um,Spot,Position,871,um,Spot,Position,504
-664,um,Spot,Position,875,um,Spot,Position,504
-710,um,Spot,Position,899,um,Spot,Position,505
-656,um,Spot,Position,897,um,Spot,Position,504
-696,um,Spot,Position,914,um,Spot,Position,504
-752,um,Spot,Position,932,um,Spot,Position,505
-804,um,Spot,Position,938,um,Spot,Position,505
-658,um,Spot,Position,942,um,Spot,Position,504
-746,um,Spot,Position,969,um,Spot,Position,505
-814,um,Spot,Position,1017,um,Spot,Position,504
-699,um,Spot,Position,1055,um,Spot,Position,505
-665,um,Spot,Position,1058,um,Spot,Position,504
-807,um,Spot,Position,1065,um,Spot,Position,505
-669,um,Spot,Position,1076,um,Spot,Position,504
-716,um,Spot,Position,1084,um,Spot,Position,505
-759,um,Spot,Position,1089,um,Spot,Position,506
-921,um,Spot,Position,1098,um,Spot,Position,506
-185,um,Spot,Position,877,um,Spot,Position,452
-176,um,Spot,Position,900,um,Spot,Position,450
-209,um,Spot,Position,903,um,Spot,Position,466
-180,um,Spot,Position,931,um,Spot,Position,465
-191,um,Spot,Position,986,um,Spot,Position,467
-204,um,Spot,Position,791,um,Spot,Position,471
-219,um,Spot,Position,845,um,Spot,Position,475
-255,um,Spot,Position,916,um,Spot,Position,473
-222,um,Spot,Position,915,um,Spot,Position,470
-318,um,Spot,Position,946,um,Spot,Position,475
-210,um,Spot,Position,966,um,Spot,Position,473
-231,um,Spot,Position,970,um,Spot,Position,470
-172,um,Spot,Position,1036,um,Spot,Position,470
-220,um,Spot,Position,1042,um,Spot,Position,476
-191,um,Spot,Position,686,um,Spot,Position,477
-225,um,Spot,Position,695,um,Spot,Position,481
-242,um,Spot,Position,819,um,Spot,Position,481
-183,um,Spot,Position,833,um,Spot,Position,476
-301,um,Spot,Position,867,um,Spot,Position,480
-328,um,Spot,Position,888,um,Spot,Position,479
-358,um,Spot,Position,951,um,Spot,Position,479
-348,um,Spot,Position,1090,um,Spot,Position,478
-281,um,Spot,Position,720,um,Spot,Position,490
-269,um,Spot,Position,760,um,Spot,Position,484
-329,um,Spot,Position,773,um,Spot,Position,486
-340,um,Spot,Position,814,um,Spot,Position,484
-258,um,Spot,Position,855,um,Spot,Position,485
-451,um,Spot,Position,937,um,Spot,Position,490
-487,um,Spot,Position,752,um,Spot,Position,496
-482,um,Spot,Position,782,um,Spot,Position,495
-566,um,Spot,Position,799,um,Spot,Position,494
-446,um,Spot,Position,807,um,Spot,Position,491
-362,um,Spot,Position,814,um,Spot,Position,496
-472,um,Spot,Position,816,um,Spot,Position,493
-488,um,Spot,Position,834,um,Spot,Position,494
-454,um,Spot,Position,876,um,Spot,Position,495
-542,um,Spot,Position,878,um,Spot,Position,497
-524,um,Spot,Position,918,um,Spot,Position,494
-428,um,Spot,Position,975,um,Spot,Position,494
-542,um,Spot,Position,985,um,Spot,Position,497
-502,um,Spot,Position,1024,um,Spot,Position,493
-550,um,Spot,Position,1030,um,Spot,Position,497
-484,um,Spot,Position,1085,um,Spot,Position,496
-493,um,Spot,Position,684,um,Spot,Position,500
-536,um,Spot,Position,699,um,Spot,Position,500
-497,um,Spot,Position,734,um,Spot,Position,499
-503,um,Spot,Position,751,um,Spot,Position,499
-584,um,Spot,Position,777,um,Spot,Position,499
-516,um,Spot,Position,827,um,Spot,Position,497
-576,um,Spot,Position,856,um,Spot,Position,500
-579,um,Spot,Position,892,um,Spot,Position,499
-571,um,Spot,Position,925,um,Spot,Position,500
-593,um,Spot,Position,979,um,Spot,Position,500
-593,um,Spot,Position,1012,um,Spot,Position,499
-589,um,Spot,Position,1057,um,Spot,Position,500
-504,um,Spot,Position,1100,um,Spot,Position,499
-20.4,um,Spot,Position,734,um,Spot,Position,458
102,um,Spot,Position,791,um,Spot,Position,461
214,um,Spot,Position,794,um,Spot,Position,459
199,um,Spot,Position,819,um,Spot,Position,460
163,um,Spot,Position,821,um,Spot,Position,462
228,um,Spot,Position,831,um,Spot,Position,461
-76.9,um,Spot,Position,857,um,Spot,Position,458
10,um,Spot,Position,939,um,Spot,Position,461
188,um,Spot,Position,946,um,Spot,Position,459
133,um,Spot,Position,1008,um,Spot,Position,458
254,um,Spot,Position,1008,um,Spot,Position,462
174,um,Spot,Position,1023,um,Spot,Position,460
142,um,Spot,Position,1055,um,Spot,Position,461
79.6,um,Spot,Position,1076,um,Spot,Position,459
25.1,um,Spot,Position,690,um,Spot,Position,468
155,um,Spot,Position,707,um,Spot,Position,466
53.7,um,Spot,Position,717,um,Spot,Position,465
163,um,Spot,Position,731,um,Spot,Position,464
231,um,Spot,Position,735,um,Spot,Position,465
92.1,um,Spot,Position,743,um,Spot,Position,463
190,um,Spot,Position,743,um,Spot,Position,465
-39.4,um,Spot,Position,759,um,Spot,Position,468
-89.2,um,Spot,Position,773,um,Spot,Position,468
208,um,Spot,Position,774,um,Spot,Position,466
-114,um,Spot,Position,782,um,Spot,Position,467
-42.6,um,Spot,Position,786,um,Spot,Position,466
53.2,um,Spot,Position,792,um,Spot,Position,463
174,um,Spot,Position,797,um,Spot,Position,463
-67.2,um,Spot,Position,812,um,Spot,Position,465
-91.9,um,Spot,Position,818,um,Spot,Position,466
-116,um,Spot,Position,824,um,Spot,Position,466
-29,um,Spot,Position,840,um,Spot,Position,465
86.2,um,Spot,Position,851,um,Spot,Position,463
-133,um,Spot,Position,863,um,Spot,Position,465
205,um,Spot,Position,871,um,Spot,Position,463
71.4,um,Spot,Position,890,um,Spot,Position,463
147,um,Spot,Position,894,um,Spot,Position,467
181,um,Spot,Position,909,um,Spot,Position,467
-61,um,Spot,Position,912,um,Spot,Position,463
33.6,um,Spot,Position,918,um,Spot,Position,463
101,um,Spot,Position,929,um,Spot,Position,464
224,um,Spot,Position,973,um,Spot,Position,462
9.99,um,Spot,Position,988,um,Spot,Position,466
-114,um,Spot,Position,1052,um,Spot,Position,463
-139,um,Spot,Position,1073,um,Spot,Position,465
-89.2,um,Spot,Position,1073,um,Spot,Position,467
-51.9,um,Spot,Position,1076,um,Spot,Position,463
-11.8,um,Spot,Position,1087,um,Spot,Position,463
-91.3,um,Spot,Position,1091,um,Spot,Position,464
179,um,Spot,Position,685,um,Spot,Position,474
98.7,um,Spot,Position,687,um,Spot,Position,469
-44,um,Spot,Position,694,um,Spot,Position,470
-73.5,um,Spot,Position,711,um,Spot,Position,470
-137,um,Spot,Position,728,um,Spot,Position,472
-157,um,Spot,Position,780,um,Spot,Position,470
15.3,um,Spot,Position,812,um,Spot,Position,469
11.6,um,Spot,Position,827,um,Spot,Position,471
-7.27,um,Spot,Position,863,um,Spot,Position,473
-58.2,um,Spot,Position,878,um,Spot,Position,469
-49.7,um,Spot,Position,934,um,Spot,Position,470
370,um,Spot,Position,727,um,Spot,Position,453
389,um,Spot,Position,736,um,Spot,Position,462
326,um,Spot,Position,752,um,Spot,Position,460
282,um,Spot,Position,766,um,Spot,Position,461
373,um,Spot,Position,929,um,Spot,Position,460
455,um,Spot,Position,959,um,Spot,Position,461
